Probe Name	Accession #	NS Probe ID	Class Name	Analyte Type	Class Active	BT549 ABCB1 24 minus doxy.RCC	BT549 ABCB1 24 plus doxy.RCC	BT549 ABCB1 4 minus doxy.RCC	BT549 ABCB1 4 plus doxy.RCC	BT549 ABCB1 72 minus doxy.RCC	BT549 ABCB1 72 plus doxy.RCC	BT549 GFP 24 minus doxy.RCC	BT549 GFP 24 plus doxy.RCC	BT549 GFP 4 minus doxy.RCC	BT549 GFP 4 plus doxy.RCC	BT549 GFP 72 minus doxy.RCC	BT549 GFP 72 plus doxy.RCC	CAMA-1 ABCB1 24 minus doxy.RCC	CAMA-1 ABCB1 24 plus doxy.RCC	CAMA-1 ABCB1 4 minus doxy.RCC	CAMA-1 ABCB1 4 plus doxy.RCC	CAMA-1 ABCB1 72 minus doxy.RCC	CAMA-1 ABCB1 72 plus doxy.RCC	CAMA-1 GFP 24 minus doxy.RCC	CAMA-1 GFP 24 plus doxy.RCC	CAMA-1 GFP 4 minus doxy.RCC	CAMA-1 GFP 4 plus doxy.RCC	CAMA-1 GFP 72 minus doxy.RCC	CAMA-1 GFP 72 plus doxy.RCC	HCC1428 ABCB1 24 minus doxy.RCC	HCC1428 ABCB1 24 plus doxy.RCC	HCC1428 ABCB1 4 minus doxy.RCC	HCC1428 ABCB1 4 plus doxy.RCC	HCC1428 ABCB1 72 minus doxy.RCC	HCC1428 ABCB1 72 plus doxy.RCC	HCC1428 GFP 24 minus doxy.RCC	HCC1428 GFP 24 plus doxy.RCC	HCC1428 GFP 4 minus doxy.RCC	HCC1428 GFP 4 plus doxy.RCC	HCC1428 GFP 72 minus doxy.RCC	HCC1428 GFP 72 plus doxy.RCC	Hs578T ABCB1 24 minus doxy.RCC	Hs578T ABCB1 24 plus doxy.RCC	Hs578T ABCB1 4 minus doxy.RCC	Hs578T ABCB1 4 plus doxy.RCC	Hs578T ABCB1 72 minus doxy.RCC	Hs578T Abcb1 72 plus doxy.RCC	Hs578T GFP 24 minus doxy.RCC	Hs578T GFP 24 plus doxy.RCC	Hs578T GFP 4 minus doxy.RCC	Hs578T GFP 4 plus doxy.RCC	Hs578T GFP 72 minus doxy.RCC	Hs578T GFP 72 plus doxy.RCC	MCF7 ABCB1 24 minus doxy.RCC	MCF7 ABCB1 24 plus doxy.RCC	MCF7 ABCB1 72 minus doxy.RCC	MCF7 ABCB1 72 plus doxy.RCC	MCF7 GFP 24 minus doxy.RCC	MCF7 GFP 24 plus doxy.RCC	MCF7 GFP 72 minus doxy.RCC	MCF7 GFP 72 plus doxy.RCC	T47D ABCB1 24 minus doxy.RCC	T47D ABCB1 24 plus doxy.RCC	T47D ABCB1 4 minus doxy.RCC	T47D ABCB1 4 plus doxy.RCC	T47D ABCB1 72 minus doxy.RCC	T47D ABCB1 72 plus doxy.RCC	T47D GFP 24 minus doxy.RCC	T47D GFP 24 plus doxy.RCC	T47D GFP 4 minus doxy.RCC	T47D GFP 4 plus doxy.RCC	T47D GFP 72 minus doxy.RCC	T47D GFP 72 plus doxy.RCC	ZR-75-1 ABCB1 24 minus doxy.RCC	ZR-75-1 ABCB1 24 plus doxy.RCC	ZR-75-1 ABCB1 4 minus doxy.RCC	ZR-75-1 ABCB1 4 plus doxy.RCC	ZR-75-1 ABCB1 72 minus doxy.RCC	ZR-75-1 ABCB1 72 plus doxy.RCC	ZR-75-1 GFP 24 minus doxy.RCC	ZR-75-1 GFP 24 plus doxy.RCC	ZR-75-1 GFP 4 minus doxy.RCC	ZR-75-1 GFP 4 plus doxy.RCC	ZR-75-1 GFP 72 minus doxy.RCC	ZR-75-1 GFP 72 plus doxy.RCC
																																																																																					
ABCB1	NM_000927.3	NM_000927.3:3910	Endogenous	mRNA	2	22.93	10041.67	33.42	4117.13	28.4	13321.08	20	20	20	20	20	20	20	12997.26	20	1393.45	29.46	23994.11	20	20	20	20	20	20	106.94	8460.97	88.54	755.28	111.76	14687.44	62.3	83.73	43.78	40.84	60.75	36.07	55.51	16324.23	42.17	4442.94	40.82	16912.25	108.73	169.05	85.81	91.24	117.08	26.65	54.42	24328.35	132	44958.74	20	20	20	20	69.46	46172.5	48.1	5005.68	55.87	87718.34	20	20	20	20	20	20	20	1398	20	46.94	20	8106.95	20	20	20	20	20	20
ACTA2	NM_001613.1	NM_001613.1:645	Endogenous	mRNA	2	532.06	502.48	578.7	560.37	351.14	274.84	773.82	789.96	924.96	805.32	594.19	444.91	106.65	115.88	112.36	101.85	69.96	125.93	59.98	64.06	75.97	91.74	52.1	61.87	20	20	20	20	20	20	20	20	20	20	20	20	1322.26	919.73	1414.29	1177.99	1371.01	1208.39	566.8	512.03	514.88	511.72	528.14	770.69	20	20	20	20	20	20	20	26.76	85.11	71.38	67.74	101.35	96.22	114.67	105.18	134.05	82.64	92.41	114.34	114.23	20	20	20	20	20	20	20	20	20	20	20	20
ACTBL2	NM_001017992.2	NM_001017992.2:1320	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	58.04	20	73.53	66.81	87.62	20.91	105.16	20	130.02	85.29	110.72	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
AEBP1	NM_001129.3	NM_001129.3:3170	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	104.72	83.27	97.31	111.64	97.57	126.48	31.19	29.26	31.2	28.76	38.18	40.34	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
AGPAT9	NM_032717.3	NM_032717.3:145	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	33.06	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	27.24	20	21.91	20	20	20	20	20	23.12	20	20	20	54.37	20	20	20	20	20	20	38.47	28.64	32.85	37.76	39.81	31.85	20	20	20	20	20	20
AKAP12	NM_005100.3	NM_005100.3:640	Endogenous	mRNA	2	101.98	123.17	99.32	114.23	105.97	139	128.59	147.1	101.38	106.89	137.8	120.57	20	20	20	20	20	20	20	20	20	20	20	20	29.07	20	30.57	24.98	20	20.88	21.6	27.91	21.89	20.92	34.34	20	55.51	60.56	107.04	111.64	69.7	76.31	86.45	56.89	96.21	91.24	101.81	64.1	20	20	20	20	20	20	20	20	48.92	50.27	44.18	48.69	45.52	50.42	40.61	26.39	43.08	36.09	49.55	31.22	20	20	20	20	20	20	20	20	20	20	20	20
AKT1	NM_001014432.1	NM_001014432.1:1275	Endogenous	mRNA	2	120.17	136.04	153.75	119.19	151.68	168.22	122.54	149.01	129.38	119.57	141.21	136.08	162.52	160.34	146.93	151.1	170.6	269.17	174.24	169.19	165.16	159.55	158.22	182.8	368.58	327.18	407.92	405.61	434.9	387.06	417.02	324.75	336.29	344.68	371.09	427.43	223.32	194.29	187.06	202.19	230.99	275.96	175.57	104.03	180.73	190.41	178.17	176.47	477.81	506.26	517.93	434.12	448.51	422.59	402.08	415.26	333.61	402.16	358.32	332.85	374.52	374.65	379.07	283.94	354.28	338.85	326.5	269.59	460.67	432.59	428.04	472.48	471.06	474.9	493.66	416.99	499.35	480.75	482.37	481.69
ALDH1A1	NM_000689.3	NM_000689.3:11	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
ALDH1A2	NM_003888.2	NM_003888.2:3130	Endogenous	mRNA	2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
